,ret,position,return
2012-04-01,-0.0241913341739,0.0,-0.0
2012-04-08,0.01869133844,0.0,0.0
2012-04-15,0.022766337882,0.0,0.0
2012-04-22,0.0218433141821,0.0,0.0
2012-04-29,0.00366776192952,0.0,0.0
2012-05-06,0.0296921581444,0.0,0.0
2012-05-13,-0.0324660169011,0.0,-0.0
2012-05-20,-0.0221171581837,0.0,-0.0
2012-05-27,0.000452988029533,0.0,0.0
2012-06-03,0.0180990011374,0.0,0.0
2012-06-10,-0.0386722547413,0.0,-0.0
2012-06-17,0.0177766496983,0.0,0.0
2012-06-24,-0.019302435551,0.0,-0.0
2012-07-01,-0.0152601089107,0.0,-0.0
2012-07-08,0.00159232127364,0.0,0.0
2012-07-15,-0.015517305846,0.0,-0.0
2012-07-22,-0.0158570914032,0.0,-0.0
2012-07-29,-0.0168794737705,0.0,-0.0
2012-08-05,0.00692420794021,0.0,0.0
2012-08-12,0.0143625505371,0.0,0.0
2012-08-19,-0.0355346074762,0.0,-0.0
2012-08-26,-0.0111408306755,0.0,-0.0
2012-09-02,-0.0232427851981,0.0,-0.0
2012-09-09,0.0438461401615,0.0,0.0
2012-09-16,-0.00278639564537,0.0,-0.0
2012-09-23,-0.0425690951504,0.0,-0.0
2012-09-30,0.0434217969972,0.0,0.0
2012-10-14,0.00344989313589,0.0,0.0
2012-10-21,0.0118028867732,0.0,0.0
2012-10-28,-0.0324033691697,0.0,-0.0
2012-11-04,0.026446750682,0.0,0.0
2012-11-11,-0.021366263379,0.0,-0.0
2012-11-18,-0.0253128879477,0.0,-0.0
2012-11-25,0.0110825874292,0.0,0.0
2012-12-02,-0.0133823850034,0.0,-0.0
2012-12-09,0.0563130554569,0.0,0.0
2012-12-16,0.0569714607719,0.0,0.0
2012-12-23,0.00574583323269,0.0,0.0
2012-12-30,0.0459512866791,0.0,0.0
2013-01-06,0.028961194009,0.0,0.0
2013-01-13,-0.0275417322122,0.0,-0.0
2013-01-20,0.0372794639886,0.0,0.0
2013-01-27,-0.000180478627994,0.0,-0.0
2013-02-03,0.0897290040618,0.0,0.0
2013-02-10,-0.0064712196946,1.0,-0.0064712196946
2013-02-24,-0.0778216702218,1.0,-0.0778216702218
2013-03-03,0.0323587865691,1.0,0.0323587865691
2013-03-10,-0.0220853653691,1.0,-0.0220853653691
2013-03-17,-0.0316399956786,0.0,-0.0
2013-03-24,0.0342912148597,0.0,0.0
2013-03-31,-0.058424010558,1.0,-0.058424010558
2013-04-07,-0.00196868430726,0.0,-0.0
2013-04-14,-0.00847108633478,0.0,-0.0
2013-04-21,0.0301369533118,0.0,0.0
2013-04-28,-0.033888384805,0.0,-0.0
2013-05-05,0.016676887291,0.0,0.0
2013-05-12,0.0131601976302,0.0,0.0
2013-05-19,0.0135739945213,0.0,0.0
2013-05-26,-0.00795548959713,0.0,-0.0
2013-06-02,0.00668349114432,0.0,0.0
2013-06-09,-0.0440651456194,0.0,-0.0
2013-06-16,-0.031857401986,0.0,-0.0
2013-06-23,-0.0416536877767,0.0,-0.0
2013-06-30,-0.049462883005,0.0,-0.0
2013-07-07,-0.0066567707274,0.0,-0.0
2013-07-14,0.0295324549864,0.0,0.0
2013-07-21,-0.0479905825977,0.0,-0.0
2013-07-28,0.00675749597146,0.0,0.0
2013-08-04,0.0097872400807,0.0,0.0
2013-08-11,0.0107647223264,0.0,0.0
2013-08-18,0.0255947952871,0.0,0.0
2013-08-25,-0.0166381983821,0.0,-0.0
2013-09-01,0.0149937745433,0.0,0.0
2013-09-08,0.0226930979001,0.0,0.0
2013-09-15,0.0758924875945,0.0,0.0
2013-09-22,-0.0278150912311,0.0,-0.0
2013-09-29,-0.036125133428,0.0,-0.0
2013-10-06,0.002381,0.0,0.0
2013-10-13,0.0159536622488,0.0,0.0
2013-10-20,-0.0194507948028,0.0,-0.0
2013-10-27,-0.015446043702,0.0,-0.0
2013-11-03,0.0206217533801,0.0,0.0
2013-11-10,-0.0348462057887,0.0,-0.0
2013-11-17,0.0109501396247,0.0,0.0
2013-11-24,0.0234745626476,0.0,0.0
2013-12-01,0.0115150003225,0.0,0.0
2013-12-08,0.00833409266292,0.0,0.0
2013-12-15,-0.0291568722532,0.0,-0.0
2013-12-22,-0.0547198967718,0.0,-0.0
2013-12-29,0.00833107821304,0.0,0.0
2014-01-05,-0.009129943615,0.0,-0.0
2014-01-12,-0.0246063852439,0.0,-0.0
2014-01-19,-0.0150812775217,0.0,-0.0
2014-01-26,0.0178869071319,0.0,0.0
2014-02-02,-0.0164561845513,0.0,-0.0
2014-02-09,-0.001355,0.0,-0.0
2014-02-16,0.0399202784477,0.0,0.0
2014-02-23,-0.018842124398,0.0,-0.0
2014-03-02,-0.0272431510684,0.0,-0.0
2014-03-09,-0.00596637928876,0.0,-0.0
2014-03-16,-0.0200545309162,0.0,-0.0
2014-03-23,0.0264197417626,0.0,0.0
2014-03-30,0.00544139128828,0.0,0.0
2014-04-06,0.0124227640371,0.0,0.0
2014-04-13,0.0503069937274,0.0,0.0
2014-04-20,-0.0281276768202,0.0,-0.0
2014-04-27,-0.0132983891005,0.0,-0.0
2014-05-04,-0.00415516477344,0.0,-0.0
2014-05-11,-0.00941362451918,0.0,-0.0
2014-05-18,0.00472542864708,0.0,0.0
2014-05-25,-0.00225881640831,0.0,-0.0
2014-06-01,-0.00153496130333,0.0,-0.0
2014-06-08,-0.00663047688589,0.0,-0.0
2014-06-15,0.020848123755,0.0,0.0
2014-06-22,-0.0122976859029,0.0,-0.0
2014-06-29,-0.00722230415372,0.0,-0.0
