,SP500,London_gold,Barclays_US_bond,s_bm,g_bm,b_bm,ms_return,bm_return
1996-02-29,0.284198909309,0.296930420163,0.418870670529,0.260457353997,0.191447712346,0.548094933657,0.0206550248599,0.0178365209707
1996-03-31,0.274634580018,0.301692550024,0.423672869957,0.25988966247,0.191423043297,0.548687294233,-0.0149395331559,-0.0146510395447
1996-04-30,0.28094158216,0.298670131634,0.420388286206,0.260665266349,0.191651658268,0.547683075383,-0.00476857864985,-0.00443875142193
1996-05-31,0.284426166606,0.29804660193,0.417527231463,0.260971406748,0.191745350551,0.547283242702,0.00521027064421,0.0047032086783
1996-06-30,0.284436414529,0.297803742293,0.417759843179,0.260872325104,0.191619640237,0.547508034659,-0.00307303956427,-0.00167256829347
1996-07-31,0.286632441136,0.297585991313,0.41578156755,0.261263773423,0.191437968737,0.54729825784,-0.00803638265034,-0.00546886262703
1996-08-31,0.260820050404,0.19240136589,0.546778583706,0.260820052373,0.192401366095,0.546778581531,0.0184172683443,0.0184172683676
1996-09-30,0.280672413897,0.301402797729,0.417924788374,0.260985497116,0.193230981503,0.545783521382,0.000411768686946,0.000859869713443
1996-10-31,0.28845681375,0.296670154847,0.414873031403,0.260751423212,0.194619529734,0.544629047054,0.0179533361964,0.0200649603688
1996-11-30,0.285805288267,0.298840906592,0.41535380514,0.260489228729,0.194954275301,0.54455649597,0.0200857038315,0.0221783716942
1996-12-31,0.27977006066,0.30406378451,0.41616615483,0.259361292856,0.195526527229,0.545112179915,-0.00442221678377,-0.00195382634518
1997-01-31,0.287143846872,0.300897990781,0.411958162347,0.25998255749,0.195363357017,0.544654085493,-0.00443304185075,-0.00191196069495
1997-02-28,0.28111860909,0.305032898455,0.413848492455,0.260862884372,0.194403331839,0.544733783789,0.00988798721443,0.0133253238849
1997-03-31,0.282398753924,0.305529736434,0.412071509641,0.260570856217,0.194683691597,0.544745452186,0.00034243278597,-0.00240688820488
1997-04-30,0.281882043384,0.307300330529,0.410817626088,0.260564357302,0.194986492146,0.544449150552,-0.0185026953648,-0.0156599198944
1997-05-31,0.27119388248,0.313424776664,0.415381340856,0.260029120396,0.195206106403,0.544764773201,0.0301079823591,0.0311899049813
1997-06-30,0.250230334112,0.327899306256,0.421870359632,0.258796563577,0.195851685684,0.54535175074,0.0161486588919,0.019716997969
1997-07-31,0.229644253225,0.328913003495,0.44144274328,0.258711186589,0.195926458444,0.545362354967,0.0041549971203,0.0142861583498
1997-08-31,0.270911450488,0.312282043986,0.416806505526,0.258602364316,0.196046447119,0.545351188565,0.00183621977127,0.00192534106567
1997-09-30,0.256735132207,0.360022600762,0.38324226703,0.258827558302,0.196037507909,0.545134933789,0.00440408300799,0.00667417129488
1997-10-31,0.262699286191,0.366324410249,0.37097630356,0.2588095228,0.196096636838,0.545093840362,0.0107276905521,0.0116741625926
1997-11-30,0.260592452437,0.368289923673,0.371117623889,0.259322534648,0.195581923336,0.545095542016,-0.0198568508186,-0.00863906668953
1997-12-31,0.274059882202,0.314993883649,0.410946234149,0.259144860276,0.195142678113,0.545712461611,-0.00789563059819,-0.000118665715369
1998-01-31,0.29991246681,0.292096142682,0.407991390508,0.259315707238,0.194820428626,0.545863864136,0.00700760935321,0.0089606133631
1998-02-28,0.301248507436,0.294019895394,0.40473159717,0.260206040311,0.194175231178,0.545618728512,0.0279065569116,0.0226740018899
1998-03-31,0.277513772953,0.305028992584,0.417457234463,0.259534422835,0.193930890994,0.546534686171,0.0132663751127,0.0132798275865
1998-04-30,0.274002816005,0.308640110323,0.417357073672,0.259241614468,0.193967367375,0.546791018156,0.02466626998,0.0200066363083
1998-05-31,0.288950898616,0.298352613202,0.412696488182,0.259332881929,0.193655173941,0.54701194413,-0.00866647087283,-0.00470348305454
1998-06-30,0.290136179209,0.297178526507,0.412685294284,0.259293275623,0.193922100615,0.546784623762,-0.00208998487414,0.00166318502524
1998-07-31,0.29364179842,0.29538231194,0.41097588964,0.259420099013,0.193739446495,0.546840454492,0.0157573487985,0.0148460922778
1998-08-31,0.290451725883,0.297748937001,0.411799337117,0.259837592466,0.194554216242,0.545608191292,-0.0243320711013,-0.0181433705093
1998-09-30,0.222448947936,0.335175809117,0.442375242948,0.257964631724,0.194644360953,0.547391007323,0.000583153069357,-0.00176559316877
1998-10-31,0.209625724717,0.345077244258,0.445297031025,0.257210225544,0.194723547338,0.548066227118,0.0170681363659,0.0146894110105
1998-11-30,0.259524259844,0.315490568576,0.42498517158,0.258570758697,0.19317092214,0.548258319163,0.0225986758785,0.0226771861895
1998-12-31,0.198718530494,0.350630114362,0.450651355144,0.255318411881,0.197243189936,0.547438398183,0.00968174192902,0.0144674507078
1999-01-31,0.20563077538,0.344765184409,0.449604040211,0.255248304333,0.199427020757,0.54532467491,0.00634894132431,0.0110038661183
1999-02-28,0.200779442983,0.345602352927,0.453618204091,0.255180166035,0.199502969407,0.545316864558,-0.00245820243566,-0.00298531372859
1999-03-31,0.247972639929,0.325448510938,0.426578849133,0.255431917801,0.199405128584,0.545162953615,0.00438921255795,0.00472097949622
1999-04-30,0.283296059146,0.308300975657,0.408402965197,0.255677646506,0.199317153714,0.54500519978,0.0116358583652,0.01307821049
1999-05-31,0.257011621355,0.322384324314,0.420604054331,0.255499961805,0.199298405833,0.545201632363,-0.0112111021978,-0.00986790512255
1999-06-30,0.279840005426,0.331057473719,0.389102520855,0.253957635657,0.201035814166,0.545006550177,-0.0252820016634,-0.019818197076
