,SP500,London_gold,Barclays_US_bond,s_bm,g_bm,b_bm,ms_return,bm_return
2000-02-29,0.256060072954,3.03576608296e-18,0.743939927046,0.171,0.0,0.829,-0.00120347037953,0.00148132095715
2000-03-31,0.191956357615,0.0,0.808043642385,0.151,0.0,0.849,0.0166853898967,0.0155845377449
2000-04-30,0.265903985969,0.000666041398026,0.733429972633,0.171,0.0,0.829,0.0125000886655,0.0122699200071
2000-05-31,0.291660043832,3.52365706058e-18,0.708339956168,0.152,0.0,0.848,-0.0213997892308,-0.0192860626492
2000-06-30,0.19044405418,2.57633541237e-17,0.80955594582,0.148,0.0,0.852,0.0263289465468,0.0260118473074
2000-07-31,0.220855796104,0.0,0.779144203896,0.148,0.0,0.852,0.0100782294178,0.0103142784045
2000-08-31,0.255699522848,0.0,0.744300477152,0.134,0.0,0.866,0.011631184162,0.0122948131443
2000-09-30,0.253198575642,2.07556953395e-17,0.746801424358,0.123,0.0,0.877,0.00262259890027,0.00497140043912
2000-10-31,0.252344889529,0.0,0.747655110471,0.116,0.0,0.884,-0.00693188833779,0.00155235602557
2000-11-30,0.042380521546,0.0,0.957619478454,0.104,0.0,0.896,0.00636668325558,0.00528364649587
2000-12-31,0.0635444568315,0.0,0.936455543168,0.091,0.0,0.909,0.0195657486969,0.0180693398765
2001-01-31,0.0459500270691,0.0,0.954049972931,0.091,0.0,0.909,0.0155609082381,0.0149633135519
2001-02-28,0.134824367028,6.34122745632e-17,0.865175632972,0.097,0.0,0.903,0.00306862728542,0.00418072280292
2001-03-31,0.121219424127,0.0,0.878780575873,0.087,0.0,0.913,-4.90861088489e-05,0.00352466557405
2001-04-30,0.0,0.0,1.0,0.074,0.0,0.926,-0.000827893953736,-0.000484439145112
2001-05-31,0.0129078143159,1.11537298494e-17,0.987092185684,0.072,0.0,0.928,0.00187036759132,0.00579792261976
2001-06-30,3.46944695195e-18,1.17093834628e-17,1.0,0.079,0.0,0.921,0.0108829225807,0.00803477539336
2001-07-31,4.0061722633e-18,0.0,1.0,0.077,0.0,0.923,0.00747977362989,0.00477397694152
2001-08-31,6.00925839495e-18,0.0,1.0,0.07,0.0,0.93,0.0140771721798,0.0115821348368
2001-09-30,0.0127927332341,1.76724954115e-17,0.987207266766,0.074,0.0,0.926,0.0102811862872,0.0026028663466
2001-10-31,8.0123445266e-18,6.93889390391e-18,1.0,0.068,0.0,0.932,0.01465424461,0.0157791440022
2001-11-30,0.0,0.0,1.0,0.068,0.0,0.932,0.00342221249643,0.00653620475403
